response id, user id, condition, stimulus, user_response, correct_response, exposure_duration
R_STsZUZrSUq5FBRL,VastUBX,1_back, t, false, false, 405.7730000000738
R_STsZUZrSUq5FBRL,VastUBX,1_back, t, true, true, 335.36600000513135
R_STsZUZrSUq5FBRL,VastUBX,1_back, T, true, true, 454.6940000026807
R_STsZUZrSUq5FBRL,VastUBX,1_back, b, false, false, 502.002000001492
R_STsZUZrSUq5FBRL,VastUBX,1_back, G, false, false, 861.3740000031685
R_STsZUZrSUq5FBRL,VastUBX,1_back, B, false, false, 659.8800000030315
R_STsZUZrSUq5FBRL,VastUBX,1_back, T, false, false, 860.1079999994981
R_STsZUZrSUq5FBRL,VastUBX,1_back, t, true, true, 511.6960000001418
R_STsZUZrSUq5FBRL,VastUBX,1_back, V, false, false, 444.3810000005178
R_STsZUZrSUq5FBRL,VastUBX,1_back, v, true, true, 378.46700000004785
R_STsZUZrSUq5FBRL,VastUBX,1_back, g, false, false, 892.4179999996413
R_STsZUZrSUq5FBRL,VastUBX,1_back, G, true, true, 532.6860000059387
R_STsZUZrSUq5FBRL,VastUBX,1_back, b, false, false, 700.1750000019238
R_STsZUZrSUq5FBRL,VastUBX,1_back, V, false, false, 508.27800000338175
R_STsZUZrSUq5FBRL,VastUBX,1_back, V, false, true, 369.8720000015892
R_STsZUZrSUq5FBRL,VastUBX,1_back, v, true, true, 610.8010000050708
R_STsZUZrSUq5FBRL,VastUBX,1_back, B, false, false, 681.2140000039944
R_STsZUZrSUq5FBRL,VastUBX,1_back, b, true, true, 437.00900000518595
R_STsZUZrSUq5FBRL,VastUBX,1_back, t, false, false, 770.7120000005962
R_STsZUZrSUq5FBRL,VastUBX,1_back, g, false, false, 569.0690000042669
R_STsZUZrSUq5FBRL,VastUBX,1_back, v, false, false, 803.9230000029347
R_STsZUZrSUq5FBRL,VastUBX,1_back, v, true, true, 580.5260000051057
R_STsZUZrSUq5FBRL,VastUBX,1_back, t, false, false, 521.8130000027741
R_STsZUZrSUq5FBRL,VastUBX,1_back, B, false, false, 887.0749999998516
R_STsZUZrSUq5FBRL,VastUBX,1_back, g, false, false, 814.4610000002576
R_STsZUZrSUq5FBRL,VastUBX,2_back, b, false, false, 1981.1670000064769
R_STsZUZrSUq5FBRL,VastUBX,2_back, v, false, false, 2444.2880000002624
R_STsZUZrSUq5FBRL,VastUBX,2_back, G, false, false, 796.2860000029323
R_STsZUZrSUq5FBRL,VastUBX,2_back, b, false, false, 2137.6530000062194
R_STsZUZrSUq5FBRL,VastUBX,2_back, T, None, None, 2500.372000000003
R_STsZUZrSUq5FBRL,VastUBX,2_back, b, false, true, 1192.9500000044063
R_STsZUZrSUq5FBRL,VastUBX,2_back, t, true, true, 866.1290000048757
R_STsZUZrSUq5FBRL,VastUBX,2_back, g, false, false, 818.3660000012023
