Scholar ID,Gender,Black or African American,Hispanic or Latinx,Native Hawaiian or Pacific Islander,Asian,American Indian or Alaska Native,White,Family Income,Family Size,Federal Poverty Level Percentage,First Generation College Student,High School,High School Graduation Year,HS Unweighted GPA,HS Weighted GPA,Class Rank,Class Size,SAT Math,SAT Critical Reading,SAT Total,Scholar Status,Scholar Secondary Status,Last Renewal Date,Cohort,SA Cohort,Completed SA as Junior,Completed SA as Senior,# SA Cohorts,SA Chemistry,SA Computer Science,Scholar College,College Forbes Ranking,College Forbes Ranking 2018,Intended Major,Intended Major STEM?,College Graduation Year,# Years of College,# of College Terms,Current Major,Current Major Category,Current Major STEM?,Reported Total GPA,GPA - Freshman Year,GPA - Sophomore Year,GPA - Junior Year,GPA - Senior Year,GPA - Super Senior,College Degree Earned Type,Estimated Student Loans at Graduation,6 Months Post College: Employment Status,6 Months Post College: Graduate School
a017000001JTP47,Male,1,0,0,0,0,0,18918,4,75,1,John C Fremont High School,2012,,3.82,,,540,520,1560,Scholar Alumni,,2018 Spring,2012,,0,0,0,0,0,UC Irvine,106,96,SOCIAL SCIENCES.: Criminology.,0,2018,6,15,Math Teaching Credential Program,Education,0,3.5,3,2.971,2,,,,,,
a013900001c3kiZ,Male,0,0,0,1,0,0,23000,,45,1,Carson Senior High School,2018,4,4.225,1,377,620,610,1230,Current Scholar,Summer Academy,2019 Fall,2018,,0,1,1,0,1,UC Irvine,106,96,ENGINEERING.,1,2022,4,2,"Aerospace, Aeronautical and Astronautical Engineering.",Engineering,1,2.83,,,,,,,,,
a013900001XjQvX,Female,0,1,0,0,0,0,13000,5,44,1,Alliance Environmental Science and Technology,2018,3.75,4,14,126,650,590,1240,Current Scholar,Summer Academy,2019 Spring,2018,2017,1,1,2,0,0,UC Irvine,106,96,ENGINEERING.,1,2022,4,1,Bioengineering and Biomedical Engineering.,Engineering,1,2.67,,,,,,,,,
a013900001YJIyS,Male,0,1,0,0,0,0,19005,7,50,1,Miguel Contreras Learning Complex,2018,3.918,3.943,1,123,700,590,1290,Current Scholar,Summer Academy,2019 Spring,2018,2017,1,1,2,1,0,UC Irvine,106,96,ENGINEERING.: Bioengineering and Biomedical Engineering.,1,2022,4,1,Biomedical/Medical Engineering.,Engineering,1,3.6,,,,,,,,,
a013900001XRadB,Female,0,1,0,0,0,0,0,8,0,1,Middle College High School,2017,3.814,3.939,6,96,670,620,1290,Current Scholar,,2019 Fall,2017,2017,1,1,2,1,0,UC Irvine,106,96,ENGINEERING.: Chemical Engineering.,1,2021,4,4,Chemical and Biomolecular Engineering.,Engineering,1,2.78,,,,,,,,,
a013900001c3kij,Male,0,1,0,0,0,0,0,,0,1,Franscisco Bravo Medical  Magnet High School,2018,3.738,3.963,20,409,670,650,1320,Current Scholar,Summer Academy,2019 Fall,2018,,0,1,1,0,1,UC Irvine,106,96,ENGINEERING.,1,2022,4,2,Chemical Engineering.,Engineering,1,3.32,,,,,,,,,
a017000001Q7md2,Male,0,1,0,0,0,0,65675,6,195,1,Banning High School,2015,,4.462,3,414,550,500,1480,Current Scholar,,2019 Spring,2015,,1,0,1,0,0,UC Irvine,106,96,ENGINEERING.: Civil Engineering.,1,2019,4,10,Civil Engineering.,Engineering,1,3.18,,,,,,,,,
a013900001XRaGd,Male,0,1,0,0,0,0,57667,4,230,1,Environmental Charter High School,2017,4,4,,,600,500,1100,Current Scholar,,2019 Spring,2017,2017,1,1,2,0,1,UC Irvine,106,96,ENGINEERING.: Mechanical Engineering.,1,2021,4,4,Mechanical Engineering.,Engineering,1,2.81,,,,,,,,,
a017000001JTPBH,Male,0,1,0,0,0,0,51204,4,204,1,Banning High School,2013,,3.57,,,570,600,1670,Scholar Alumni,Did Not Renew,2018 Spring,2013,,0,0,0,0,0,UC Irvine,106,96,LEGAL PROFESSIONS AND STUDIES.: Pre-Law Studies.,0,2018,5,11,English,English,0,2.31,2.333,1.75,,,,,,,
a017000001JTOoY,Female,0,0,1,1,0,0,54000,6,160,0,Granada Hills High School,2014,,4,,,660,690,2080,Other Status,Junior SA Alumni,2019 Spring,2014,,1,0,1,0,0,UC Irvine,106,96,HEALTH PROFESSIONS AND RELATED PROGRAMS.: Pharmaceutical Sciences.,1,2018,4,11,Pharmaceutical Sciences,Health Professions,1,3.02,3.43,,,,,,,,
a017000001Q8JEr,Female,0,0,0,1,0,0,69661,5,237,1,Academy of Medical Arts at Carson Complex High School,2015,,3.8,36,130,500,460,1450,Current Scholar,,2019 Spring,2015,,1,0,1,0,0,UC Irvine,106,96,HEALTH PROFESSIONS AND RELATED PROGRAMS.: Public Health.,0,2019,4,10,Public Health.,Health Professions,0,2,,,,,,,,,
a013900001XRadV,Male,0,1,0,0,0,0,47911,5,163,1,Academies of Education and Empowerment at Carson High School,2017,4.3,4.5,1,136,630,670,1300,Current Scholar,,2019 Fall,2017,,1,0,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.: Computer Science.,1,2021,4,5,Humanities/Humanistic Studies.,Liberal Arts,0,3.08,,,,,,,,,
a013900001XRadf,Male,0,1,0,0,0,0,47911,5,163,1,Academies of Education and Empowerment at Carson High School,2017,4.3,4.5,1,136,570,670,1240,Current Scholar,,2019 Fall,2017,,1,0,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.: Computer Systems Analysis.,1,2021,4,6,Humanities/Humanistic Studies.,Liberal Arts,0,3.01,,,,,,,,,
a013900001WTX9Z,Male,1,1,0,0,0,0,39116,6,116,1,Wallis Annenberg High School,2016,3.822,4.1,,,540,500,1600,Current Scholar,,2019 Spring,2016,,1,0,1,0,0,UC Irvine,106,96,HEALTH PROFESSIONS AND RELATED PROGRAMS.: Pre-Medicine/Pre-Medical Studies.,1,2020,4,6,Biological and Physical Sciences.,Multi/Interdisciplinary Studies,1,2.62,,,,,,,,,
a013900001WSyGW,Male,0,1,0,0,0,0,6881,4,27,1,Middle College High School,2016,3.6,3.7,17,100,440,510,1460,Current Scholar,,2019 Spring,2016,,1,0,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.: Information Science/Studies.,1,2019,3,6,International/Global Studies.,Multi/Interdisciplinary Studies,0,2.3,,,,,,,,,
a017000001JTP4Z,Female,0,1,0,0,0,0,3072,6,9,1,Bright Star Secondary Charter Academy,2012,,3.5,,,490,510,1460,Scholar Alumni,,2016 Spring,2012,,0,0,0,0,0,UC Irvine,106,96,"BIOLOGICAL AND BIOMEDICAL SCIENCES.: Biology/Biological Sciences, General.",1,2016,4,14,Social Ecology,Multi/Interdisciplinary Studies,0,2.36,2.411,2.363,2.38,,,B.A.,,,
a013900001XjQgB,Female,0,0,0,0,0,1,58401,4,233,1,Alliance Environmental Science and Technology,2018,3.94,4.18,4,,670,600,1270,Current Scholar,Summer Academy,2019 Fall,2018,2017,1,1,2,0,0,UC Irvine,106,96,PSYCHOLOGY.: Clinical Psychology.,0,2023,5,2,Social Science,Multi/Interdisciplinary Studies,0,3.88,,,,,,,,,
a013900001WSyR0,Female,0,1,0,0,0,0,15719,2,95,1,Alliance Judy Ivie Burton Technology High School,2016,3.48,3.7,17,128,480,450,1430,Current Scholar,,2019 Spring,2016,,1,0,1,0,0,UC Irvine,106,96,PSYCHOLOGY.: Psychology.,0,2020,4,6,Applied Psychology.,Psychology,0,1.96,,,,,,,,,
a017000001JTPB2,Female,0,1,0,0,0,0,47313,5,161,1,Banning High School,2013,,3.75,,,520,520,1530,Scholar Alumni,,2017 Spring,2013,,0,0,0,0,0,UC Irvine,106,96,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Business Administration, Management and Operations.",0,2017,4,10,Criminology Law and Society ; Psychology and Social Behavior,Psychology,0,2.83,1.667,2.433,,,,B.A.,,,
a017000001Q8JEc,Female,0,1,0,0,0,0,8000,3,38,1,Franscisco Bravo Medical  Magnet High School,2015,,4.321,24,426,620,560,1870,Current Scholar,,2019 Fall,2015,2015,0,1,1,0,0,UC Irvine,106,96,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Business Administration, Management and Operations.",0,2020,5,10,School of Social Ecology,Psychology,0,3.41,,,,,,,,,
a017000001JTPEt,Female,0,1,0,0,0,0,17692,5,60,1,Middle College High School,2014,,3.98,,,560,400,1400,Scholar Alumni,,2018 Spring,2014,2014,1,0,1,0,0,UC Irvine,106,96,UNDECLARED.: Undeclared.,0,2018,4,9,School of Social sciences,Psychology,0,2.99,,,,,,B.A.,No Student Loans,,
a017000001Q8JIo,Female,0,1,0,0,0,0,14895,3,72,1,Orthopeadic Hospital Medical Magnet High School,2015,,4,25,173,540,590,1680,Current Scholar,,2019 Fall,2015,2015,0,1,1,1,0,UC Irvine,106,96,ENGINEERING.: Chemical Engineering.,1,2020,5,10,Criminology.,Social Sciences,0,2.69,,,,,,,,,
a013900001XRahK,Female,0,1,0,0,0,0,14560,5,49,1,Orthopeadic Hospital Medical Magnet High School,2017,3.643,3.918,13,195,680,600,1280,Current Scholar,,2019 Fall,2017,2017,1,1,2,0,1,UC Irvine,106,96,MATHEMATICS AND STATISTICS.: Applied Mathematics.,1,2021,4,6,Political Science and Government.,Social Sciences,0,3.02,,,,,,,,,
a013900001ZFxaF,Female,1,0,0,0,0,0,27469,4,109,0,Alliance Cindy and Bill Simon Technology Academy High School,2017,3.43,3.78,12,112,670,610,1280,Current Scholar,,2019 Fall,2017,,1,0,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.: Computer Programming.,1,2021,4,4,Political Science and Government.,Social Sciences,0,2.17,,,,,,,,,
